name,canon_percentage,fanfiction_percentage
Marge Dursley,0.0010920623522723872,0.0
Cormac McLaggen,0.0010920623522723872,0.00016908860242767208
Gellert Grindelwald,0.0010920623522723872,0.0008594503519844399
Fat Lady,0.0010771025940220806,0.0
Salazar Slytherin,0.0010471830775214673,0.001394730838959615
Bob Ogden,0.001017263561020854,0.0
Pansy Parkinson,0.001017263561020854,0.0042522281675598005
Marvolo Gaunt,0.001017263561020854,0.0
Fawkes,0.0009574245280196274,0.00014807759265855308
Frank Bryce,0.0009424647697693203,0.0
Morfin Gaunt,0.0009424647697693203,0.0
Godric Gryffindor,0.0009424647697693203,0.0009374912454125963
Elphias Doge,0.0009275050115190136,0.0
Pigwidgeon,0.0008975854950184006,0.0
Mrs. Norris,0.000882625736768094,9.40492818236756e-05
Alicia Spinnet,0.0008676659785177872,0.0004222212439318203
Wilhelmina Grubbly-Plank,0.0008527062202674804,0.0
Aunt Muriel,0.0008377464620171738,0.0
Yaxley,0.0008377464620171738,0.0
Arabella Figg,0.0008227867037668671,0.00012406501006527422
Regulus Black,0.0008078269455165603,0.003583877952046873
Madam Hooch,0.0007928671872662537,0.00024212687448222871
Mr. Borgin,0.0007629476707656403,0.0
Justin Finch-Fletchley,0.0007479879125153338,0.0002751441755479871
Ariana Dumbledore,0.0007479879125153338,0.0002791462726468669
Madam Rosmerta,0.0007330281542650271,7.804089342815636e-05
Gregorovitch,0.0007330281542650271,0.0
Aragog,0.0007330281542650271,0.0
Marietta Edgecombe,0.0007180683960147202,0.00013106867998831392
Professor Binns,0.0007180683960147202,6.203250503263711e-05
Zacharias Smith,0.0007180683960147202,0.00029915675814126604
Blaise Zabini,0.0007031086377644138,0.003977083992011814
Bertha Jorkins,0.0006283098465128804,0.0
Travers,0.0006133500882625737,0.0
Marcus Flint,0.0005983903300122669,0.0006533423513921295
Ted Tonks,0.0005834305717619603,0.0007573968759630046
Barty Crouch Jr.,0.0005385512970110403,0.0006953643709303673
Norbert,0.0005385512970110403,0.0
Amelia Bones,0.0005235915387607336,0.00020710852486703038
Ernie Prang,0.000508631780510427,0.0
Antonin Dolohov,0.000508631780510427,0.0001400733984607935
Montague,0.0004936720222601203,0.00011506029159279463
Merope Gaunt,0.0004787122640098137,0.000385201845767182
Nicolas Flamel,0.0004637525057595068,0.00010005242747199533
Mary Cattermole,0.0004637525057595068,0.0
Roger Davies,0.0004487927475092002,9.40492818236756e-05
Bane,0.0004487927475092002,0.0
Nagini,0.0004487927475092002,0.00014907811693327304
Rowena Ravenclaw,0.0004188732310085869,0.0008844634588524386
Fluffy,0.00040391347275828016,0.0
Dedalus Diggle,0.00040391347275828016,0.0
Hepzibah Smith,0.00040391347275828016,0.0
Walden Macnair,0.00040391347275828016,0.0
Albus Severus Potter,0.00040391347275828016,0.006696508970700647
Errol,0.0003889537145079736,0.0
Broderick Bode,0.0003889537145079736,0.0
Michael Corner,0.0003889537145079736,0.00020210590349343047
Hannah Abbott,0.0003889537145079736,0.000988517983423314
Madam Malkin,0.0003739939562576669,0.0
Augustus Rookwood,0.0003739939562576669,0.0
Tom,0.00035903419800736023,0.0
Bloody Baron,0.00035903419800736023,0.0001520796897574329
Sturgis Podmore,0.0003440744397570535,0.0
Reg Cattermole,0.0003440744397570535,0.0
Dirk Cresswell,0.0003440744397570535,0.0
Padma Patil,0.0003440744397570535,0.0005863072249858928
Amycus Carrow,0.0003440744397570535,7.603984487871645e-05
Sir Cadogan,0.0003440744397570535,0.0
Ronan,0.0003440744397570535,0.0
Warrington,0.00032911468150674685,0.0
Kendra Dumbledore,0.00032911468150674685,0.0
Mrs. Cole,0.0003141549232564402,0.0
Armando Dippet,0.0003141549232564402,0.0
Mr. Roberts,0.00029919516500613347,0.0
Leanne,0.00029919516500613347,0.0
Pius Thicknesse,0.00029919516500613347,0.0
Hokey,0.0002842354067558268,0.0
Madam Pince,0.0002842354067558268,0.00010505504884559508
Albert Runcorn,0.0002842354067558268,0.0
Dawlish,0.0002842354067558268,0.0
Griselda Marchbanks,0.00026927564850552014,0.0
Trevor,0.00026927564850552014,0.0
Tom Riddle Sr.,0.00026927564850552014,0.00036719240882222284
Romilda Vane,0.00026927564850552014,0.00016208493250463243
Magorian,0.00026927564850552014,0.0
Dennis Creevey,0.0002543158902552135,0.00033017301065758464
Millicent Bulstrode,0.0002543158902552135,0.00022611848608670944
Beedle the Bard,0.0002543158902552135,0.0
Scabior,0.0002543158902552135,0.00025813526287774794
Aidan Lynch,0.00023935613200490685,0.0
Moran,0.00023935613200490685,0.0
Piers Polkiss,0.00023935613200490685,0.0
Demelza Robins,0.00023935613200490685,7.103722350511668e-05
Hestia Jones,0.00023935613200490685,0.000128067107164154
Mafalda Hopkirk,0.00023935613200490685,0.0
Alecto Carrow,0.00023935613200490685,0.00012906763143887394
Walburga Black,0.0002243963737546001,0.0003711945059211027
Gabrielle Delacour,0.0002243963737546001,0.00041421704973406076
Bogrod,0.0002243963737546001,0.0
Marcus Belby,0.00020943661550429344,0.0
Terry Boot,0.00020943661550429344,0.0002311211074603092
Helga Hufflepuff,0.00020943661550429344,0.0006533423513921295
James Sirius Potter,0.00020943661550429344,0.004357283216405396
Hassan Mostafa,0.0001944768572539868,0.0
Adrian Pucey,0.0001944768572539868,0.0002221163889878296
Karkus,0.0001944768572539868,0.0
Professor Tofty,0.0001944768572539868,0.0
Wilkie Twycross,0.0001944768572539868,0.0
Caractacus Burke,0.0001944768572539868,0.0
Jimmy Peakes,0.0001944768572539868,8.204299052703615e-05
Avery,0.0001944768572539868,0.0
Troy,0.00017951709900368011,0.0
Augusta Longbottom,0.00017951709900368011,0.00013306972853775382
OC,0.0,0.03283920774485831
Scorpius Malfoy,0.0,0.013820241806706714
Rose Weasley,0.0,0.01027138220427504
Lily Luna Potter,0.0,0.005879080638254445
Teddy Lupin,0.0,0.005308781801664072
Andromeda Tonks,0.0,0.002659393522205636
Victoire Weasley,0.0,0.002386250395207089
Astoria Greengrass,0.0,0.0023582357155149296
Theodore Nott,0.0,0.0019780364911213474
Daphne Greengrass,0.0,0.001628853519244084
Marlene McKinnon,0.0,0.00149778483925577
Dominique Weasley,0.0,0.0011466008188290664
Rodolphus Lestrange,0.0,0.0010455478670823512
Alice Longbottom,0.0,0.000988517983423314
Hugo Weasley,0.0,0.0009665064493794748
Lucy Weasley,0.0,0.0008314356722922811
Lysander Scamander,0.0,0.0008264330509186814
Lorcan Scamander,0.0,0.0007884131284793233
Roxanne Weasley,0.0,0.0006573444484910092
Susan Bones,0.0,0.0006323313416230107
Fred Weasley II,0.0,0.0006183240017769311
Frank Longbottom,0.0,0.0005632951666673338
Louis Weasley,0.0,0.0004782506033161377
Molly Weasley II,0.0,0.0004772500790414177
Sorting Hat,0.0,0.00042722386530542005
Rabastan Lestrange,0.0,0.0003962076127891015
Audrey Weasley,0.0,0.0003741960787452625
Dorcas Meadowes,0.0,0.00029315361249294627
Eileen Prince,0.0,0.000278145748372147
Penelope Clearwater,0.0,0.0002761446998227071
Helena Ravenclaw,0.0,0.00027314312699854715
Rolf Scamander,0.0,0.00025513369005358805
Abraxas Malfoy,0.0,0.00024512844730638855
Tracey Davis,0.0,0.00024212687448222871
Orion Black,0.0,0.0002221163889878296
Emmeline Vance,0.0,0.00022111586471310966
Mary Macdonald,0.0,0.0001991043306692707
Fabian Prewett,0.0,0.00019510223357039087
Gideon Prewett,0.0,0.00019510223357039087
Aurora Sinistra,0.0,0.00017509174807599185
Newt Scamander,0.0,0.00017209017525183197
Tobias Snape,0.0,0.00015908335968047255
Druella Black,0.0,0.00015608178685631272
Mr. Granger,0.0,0.00015608178685631272
Anthony Goldstein,0.0,0.00015508126258159276
Evan Rosier,0.0,0.00014607654410911318
Cygnus Black,0.0,0.00011305924304335472
Dementors,0.0,0.00010105295174671529
Alphard Black,0.0,9.805137892255542e-05
Dorea Black Potter,0.0,9.605033037311552e-05
Mrs. Lovegood,0.0,9.504980609839556e-05
Mirror of Erised,0.0,9.504980609839556e-05
Lisa Turpin,0.0,9.104770899951577e-05
Charlus Potter,0.0,8.704561190063592e-05
Phineas Nigellus,0.0,7.403879632927654e-05
Terence Higgs,0.0,7.203774777983663e-05
Giant Squid,0.0,6.903617495567677e-05
Charity Burbage,0.0,6.903617495567677e-05
Merlin,0.0,6.803565068095682e-05
Cedrella Weasley Black,0.0,6.703512640623686e-05
Lyall Lupin,0.0,6.503407785679698e-05
Fay Dunbar,0.0,6.503407785679698e-05
Benjy Fenwick,0.0,6.503407785679698e-05
Basilisk,0.0,6.503407785679698e-05
Eloise Midgen,0.0,6.4033553582077e-05
Mrs. Zabini,0.0,6.103198075791714e-05
Marius Black,0.0,5.7029883659037326e-05
Ignotus Peverell,0.0,5.7029883659037326e-05
