published,count,name
2002-11-24,29,Harry Potter
2002-11-25,26,Harry Potter
2002-11-26,27,Harry Potter
2002-11-27,34,Harry Potter
2002-11-28,23,Harry Potter
2002-11-29,37,Harry Potter
2002-11-30,24,Harry Potter
2002-12-01,55,Harry Potter
2002-12-02,45,Harry Potter
2002-12-03,27,Harry Potter
2002-12-04,19,Harry Potter
2002-12-05,23,Harry Potter
2002-12-06,20,Harry Potter
2002-12-07,35,Harry Potter
2002-12-08,33,Harry Potter
2002-12-09,32,Harry Potter
2002-12-10,23,Harry Potter
2002-12-11,25,Harry Potter
2002-12-12,27,Harry Potter
2002-12-13,27,Harry Potter
2002-12-14,31,Harry Potter
2002-12-15,34,Harry Potter
2002-12-16,24,Harry Potter
2002-12-17,21,Harry Potter
2002-12-18,26,Harry Potter
2002-12-19,18,Harry Potter
2002-12-20,25,Harry Potter
2002-12-21,24,Harry Potter
2002-12-22,30,Harry Potter
2002-12-23,32,Harry Potter
2002-12-24,32,Harry Potter
2002-12-25,15,Harry Potter
2002-12-26,35,Harry Potter
2002-12-27,13,Harry Potter
2002-12-28,32,Harry Potter
2002-12-29,30,Harry Potter
2002-12-30,36,Harry Potter
2002-12-31,34,Harry Potter
2003-01-01,21,Harry Potter
2003-01-02,12,Harry Potter
2003-01-03,23,Harry Potter
2003-01-04,27,Harry Potter
2003-01-05,38,Harry Potter
2003-01-06,18,Harry Potter
2003-01-07,19,Harry Potter
2003-01-08,11,Harry Potter
2003-01-09,16,Harry Potter
2003-01-10,19,Harry Potter
2003-01-11,24,Harry Potter
2003-01-12,29,Harry Potter
2003-01-13,22,Harry Potter
2003-01-14,22,Harry Potter
2003-01-15,15,Harry Potter
2003-01-16,25,Harry Potter
2003-01-17,31,Harry Potter
2003-01-18,18,Harry Potter
2003-01-19,31,Harry Potter
2003-01-20,26,Harry Potter
2003-01-21,23,Harry Potter
2003-01-22,16,Harry Potter
2003-01-23,24,Harry Potter
2003-01-24,25,Harry Potter
2003-01-25,25,Harry Potter
2003-01-26,26,Harry Potter
2003-01-27,33,Harry Potter
2003-01-28,37,Harry Potter
2003-01-29,23,Harry Potter
2003-01-30,19,Harry Potter
2003-01-31,28,Harry Potter
2003-02-01,29,Harry Potter
2003-02-02,20,Harry Potter
2003-02-03,22,Harry Potter
2003-02-04,19,Harry Potter
2003-02-05,28,Harry Potter
2003-02-06,15,Harry Potter
2003-02-07,11,Harry Potter
2003-02-08,21,Harry Potter
2003-02-09,26,Harry Potter
2003-02-10,23,Harry Potter
2003-02-11,24,Harry Potter
2003-02-12,21,Harry Potter
2003-02-13,19,Harry Potter
2003-02-14,8,Harry Potter
2003-02-15,12,Harry Potter
2003-02-16,23,Harry Potter
2003-02-17,27,Harry Potter
2003-02-18,31,Harry Potter
2003-02-19,22,Harry Potter
2003-02-20,16,Harry Potter
2003-02-21,21,Harry Potter
2003-02-22,32,Harry Potter
2003-02-23,42,Harry Potter
2003-02-24,27,Harry Potter
2003-02-25,18,Harry Potter
2003-02-26,15,Harry Potter
2003-02-27,24,Harry Potter
2003-02-28,18,Harry Potter
2003-03-01,24,Harry Potter
2003-03-02,21,Harry Potter
2003-03-03,23,Harry Potter
2003-03-04,19,Harry Potter
2003-03-05,20,Harry Potter
2003-03-06,28,Harry Potter
2003-03-07,10,Harry Potter
2003-03-08,31,Harry Potter
2003-03-09,27,Harry Potter
2003-03-10,22,Harry Potter
2003-03-11,16,Harry Potter
2003-03-12,16,Harry Potter
2003-03-13,15,Harry Potter
2003-03-14,16,Harry Potter
2003-03-15,40,Harry Potter
2003-03-16,39,Harry Potter
2003-03-17,26,Harry Potter
2003-03-18,14,Harry Potter
2003-03-19,25,Harry Potter
2003-03-20,30,Harry Potter
2003-03-21,26,Harry Potter
2003-03-22,30,Harry Potter
2003-03-23,34,Harry Potter
2003-03-24,23,Harry Potter
2003-03-25,19,Harry Potter
2003-03-26,17,Harry Potter
2003-03-27,20,Harry Potter
2003-03-28,24,Harry Potter
2003-03-29,34,Harry Potter
2003-03-30,26,Harry Potter
2003-03-31,29,Harry Potter
2003-04-01,25,Harry Potter
2003-04-02,24,Harry Potter
2003-04-03,24,Harry Potter
2003-04-04,13,Harry Potter
2003-04-05,21,Harry Potter
2003-04-06,22,Harry Potter
2003-04-08,34,Harry Potter
2003-04-09,26,Harry Potter
2003-04-10,22,Harry Potter
2003-04-11,24,Harry Potter
2003-04-12,23,Harry Potter
2003-04-13,27,Harry Potter
2003-04-14,30,Harry Potter
2003-04-15,27,Harry Potter
2003-04-16,32,Harry Potter
2003-04-17,23,Harry Potter
2003-04-18,36,Harry Potter
2003-04-19,34,Harry Potter
2003-04-20,40,Harry Potter
2003-04-21,36,Harry Potter
2003-04-22,32,Harry Potter
2003-04-23,33,Harry Potter
